Can Uzun, CF, 72, Nurnberg
Semih Kilicsoy, ST, 68, Besiktas
Kenan Yildiz, CF, 66, Juventus
Deniz Dilmen, GK, 64, Istanbul Basiksehir
Livan Burcu, LM, 64, SV Sandhausen
Yasin Ozcan, LB, 63, Kasimpasa
Efe Akman, CDM, 62, Galatasary
Efe Sarikaya, CB, 61, Grenoble Foot
Demir Ege Tiknaz, CDM, 61, Besiktas
Ali Eren Ersungur, CAM, 60, Karlsruher
Enes Albak, LB, 59, Samsunspor
Ali Turap Bulbul, RB, 59, Galatasary
Isak Vural, CAM, 58, Frosinone
Mevlut Han Ekelik, CM, 58, Antalysapor
Hamza Yigit Akman, CM, 58, Galatasary
Emre Gokay, RM, 58, Sivasspor
Berkay Yilmaz, LB, 58, Freiborg
Poyraz Yildirim, ST, 57, Trabzonspor
Eren Arda San, ST, 57, Istanbulspor
Efe Arfa Koyuncu, CB, 57, Istanbul Baseksehir,
Jankat Yilmaz, GK, 57, Galatasary
Batuhan Celik, ST, 57, Istanbul Baseksehir
Ali Yesilyury, CB, 57, Galatasary
Yakup Arda Kilic, LW, 57, Besiktas
Baran Demiroglu, SY, 57, Galatasary
