Rokas Pukstas, CM, 69, Hadjuk Split
Benjamin Cremaschi, CM, 67, Inter Miami
Obed Vargas, CM, 64, Seattle Sounders
Caleb Wiley, LB, 64, Atlanta FC
Owen Wolff, CDM, 64, Austin FC
Damion Downs, ST, 64, Koln FC
Esmir Bajraktarevic, CAM, 63, New England Revolution
Santiago Castaneda, CM, 63, MSV Duisburg
Niko Tsakiris, CAM, 61, San Jose Earthquakes
Joel Imasuen, ST, 60, Werder Bremen
Diego Rosales, RB, 60, LAFC
Darren Yapi, ST, 59, Colorado Rapids
Reed Baker-Whiting, RB, Seattle Sounders
Serge Ngoma, 58, RM, NYRB
Noah Cobb, 58, CB, Atlanta FC
Luke Brennan, 58, LW, Atlanta FC
Bajung Darboe, 57, CM, LAFC
Santiago Morales, 57, CAM, Miami FC
Malcolm Fry, 57, RW, New England Revolution
Kristian Fletcher, 56, LM, DC United,
Jack Neely, 56, CB, Charlotte FC
Nolan Norris, 55, CM, FC Dallas
Brento Estrela, 54, CM, NYRB
Curtis Ofori, 54, LB, NYRB
Adam Beaudry, 53, GK, Colorado Rapids
Stuart Hawkins, 53, CB, Seattle Sounders
Gavin Beavers, 53, GK, Real Salt Lake
