208722, Sadio Mané, 85, LM | RM | CF, Al Nassr, https://cdn.fifacm.com/content/media/imgs/fc24/players/p208722.png?v=22
201024, Kalidou Koulibaly, 84, CB, Al Hilal, https://cdn.fifacm.com/content/media/imgs/fc24/players/p201024.png?v=22
234642, Édouard Mendy, 81, GK, Al Ahli, https://cdn.fifacm.com/content/media/imgs/fc24/players/p234642.png?v=22
246242, Boulaye Dia, 80, ST, Salernitana, https://cdn.fifacm.com/content/media/imgs/fc24/players/p246242.png?v=22
259197, Nicolas Jackson, 78, ST, Chelsea, https://cdn.fifacm.com/content/media/imgs/fc24/players/p259197.png?v=22
259868, Pape Matar Sarr, 78, CM | CDM, Tottenham Hotspur, https://cdn.fifacm.com/content/media/imgs/fc24/players/p259868.png?v=22
215699, Youssouf Sabaly, 77, RB | LB, Real Betis Balompié, https://cdn.fifacm.com/content/media/imgs/fc24/players/p215699.png?v=22
225859, Moussa Niakhaté, 77, CB, Nottingham Forest, https://cdn.fifacm.com/content/media/imgs/fc24/players/p225859.png?v=22
193474, Idrissa Gueye, 76, CDM | CM, Everton, https://cdn.fifacm.com/content/media/imgs/fc24/players/p193474.png?v=22
225293, Habib Diallo, 76, ST, Al Shabab, https://cdn.fifacm.com/content/media/imgs/fc24/players/p225293.png?v=22
235353, Ismaïla Sarr, 76, RM | LM | RW, Olympique de Marseille, https://cdn.fifacm.com/content/media/imgs/fc24/players/p235353.png?v=22
198861, Mendy, 75, CDM | CM, RC Lens, https://cdn.fifacm.com/content/media/imgs/fc24/players/p198861.png?v=22
220820, Mory Diaw, 75, GK, Clermont Foot, https://cdn.fifacm.com/content/media/imgs/fc24/players/p220820.png?v=22
238227, Krépin Diatta, 75, RM, AS Monaco, https://cdn.fifacm.com/content/media/imgs/fc24/players/p238227.png?v=22
241707, Pape Gueye, 75, CM | CDM, Olympique de Marseille, https://cdn.fifacm.com/content/media/imgs/fc24/players/p241707.png?v=22
261188, Iliman Ndiaye, 75, CF | ST, Olympique de Marseille, https://cdn.fifacm.com/content/media/imgs/fc24/players/p261188.png?v=22
186801, Cheikhou Kouyaté, 74, CDM | CM | CB, Nottingham Forest, https://cdn.fifacm.com/content/media/imgs/fc24/players/p186801.png?v=22
250858, Pathé Ciss, 74, CDM | CM, Rayo Vallecano, https://cdn.fifacm.com/content/media/imgs/fc24/players/p250858.png?v=22
252293, Ismail Jakobs, 74, LB | LM | LWB, AS Monaco, https://cdn.fifacm.com/content/media/imgs/fc24/players/p252293.png?v=22
217007, Mame Thiam, 73, ST | LM, Pendikspor, https://cdn.fifacm.com/content/media/imgs/fc24/players/p217007.png?v=22
221000, Badou Ndiaye, 73, CM | CDM, Pendikspor, https://cdn.fifacm.com/content/media/imgs/fc24/players/p221000.png?v=22
228386, Pape Abou Cissé, 73, CB, Adana Demirspor, https://cdn.fifacm.com/content/media/imgs/fc24/players/p228386.png?v=22
233631, Amath Ndiaye, 73, LM | ST | RM, Real Valladolid, https://cdn.fifacm.com/content/media/imgs/fc24/players/p233631.png?v=22
