240950, Pedro Gonçalves, 82, LW | RW | CM, Sporting CP, https://cdn.fifacm.com/content/media/imgs/fc24/players/p240950.png?v=22
204614, Mário Rui, 81, LB, Napoli, https://cdn.fifacm.com/content/media/imgs/fc24/players/p204614.png?v=22
207566, William Carvalho, 81, CDM | CAM, Real Betis Balompié, https://cdn.fifacm.com/content/media/imgs/fc24/players/p207566.png?v=22
210385, Rui Silva, 81, GK, Real Betis Balompié, https://cdn.fifacm.com/content/media/imgs/fc24/players/p210385.png?v=22
212814, João Mário, 81, LM | RM | CM, Benfica, https://cdn.fifacm.com/content/media/imgs/fc24/players/p212814.png?v=22
199482, Anthony Lopes, 80, GK, Olympique Lyonnais, https://cdn.fifacm.com/content/media/imgs/fc24/players/p199482.png?v=22
227890, Nuno Santos, 80, LW | LM | LWB, Sporting CP, https://cdn.fifacm.com/content/media/imgs/fc24/players/p227890.png?v=22
228941, André Silva, 80, ST, Real Sociedad, https://cdn.fifacm.com/content/media/imgs/fc24/players/p228941.png?v=22
257179, Gonçalo Inácio, 80, CB | LB | CDM, Sporting CP, https://cdn.fifacm.com/content/media/imgs/fc24/players/p257179.png?v=22
210243, Ricardo Pereira, 79, RB, Leicester City, https://cdn.fifacm.com/content/media/imgs/fc24/players/p210243.png?v=22
234569, Florentino Morris Luís, 79, CDM | CM, Benfica, https://cdn.fifacm.com/content/media/imgs/fc24/players/p234569.png?v=22
238616, Pedro Neto, 79, RW | LW | ST, Wolverhampton Wanderers, https://cdn.fifacm.com/content/media/imgs/fc24/players/p238616.png?v=22
253124, Matheus Nunes, 79, CM | LM, Manchester City, https://cdn.fifacm.com/content/media/imgs/fc24/players/p253124.png?v=22
216531, Paulinho, 78, ST | LW | CF, Sporting CP, https://cdn.fifacm.com/content/media/imgs/fc24/players/p216531.png?v=22
230767, Renato Sanches, 78, CM | RM, Roma, https://cdn.fifacm.com/content/media/imgs/fc24/players/p230767.png?v=22
244778, Trincão, 78, RW | ST | LW, Sporting CP, https://cdn.fifacm.com/content/media/imgs/fc24/players/p244778.png?v=22
251892, Beto, 78, ST, Everton, https://cdn.fifacm.com/content/media/imgs/fc24/players/p251892.png?v=22
211368, Bruma, 77, LM | CAM | RW, Braga, https://cdn.fifacm.com/content/media/imgs/fc24/players/p211368.png?v=22
224411, Gonçalo Guedes, 77, ST | LW | LM, Villarreal CF, https://cdn.fifacm.com/content/media/imgs/fc24/players/p224411.png?v=22
234568, Gedson Fernandes, 77, CM | CDM | CAM, Beşiktaş, https://cdn.fifacm.com/content/media/imgs/fc24/players/p234568.png?v=22
