237942, Pervis Estupiñán, 81, LB, Brighton & Hove Albion, https://cdn.fifacm.com/content/media/imgs/fc24/players/p237942.png?v=22
256079, Moisés Caicedo, 80, CDM | CM, Chelsea, https://cdn.fifacm.com/content/media/imgs/fc24/players/p256079.png?v=22
256197, Piero Hincapié, 79, CB, Bayer 04 Leverkusen, https://cdn.fifacm.com/content/media/imgs/fc24/players/p256197.png?v=22
256196, William Pacho, 78, CB, Eintracht Frankfurt, https://cdn.fifacm.com/content/media/imgs/fc24/players/p256196.png?v=22
205207, Cristian Ramírez, 75, LB, Ferencvárosi TC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p205207.png?v=22
246055, Ángelo Preciado, 74, RB | RM, Sparta Praha, https://cdn.fifacm.com/content/media/imgs/fc24/players/p246055.png?v=22
253354, Hernán Galíndez, 74, GK, Huracán, https://cdn.fifacm.com/content/media/imgs/fc24/players/p253354.png?v=22
221860, Carlos Gruezo, 72, CDM | CM, San Jose Earthquakes, https://cdn.fifacm.com/content/media/imgs/fc24/players/p221860.png?v=22
259027, Jhoanner Chávez, 72, LWB | LM, RC Lens, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
246057, Jhegson Méndez, 71, CDM | CM, Elche CF, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
253568, Leonardo Campana, 70, ST, Inter Miami, https://cdn.fifacm.com/content/media/imgs/fc24/players/p253568.png?v=22
260740, Jackson Porozo, 70, CB, Kasımpaşa, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
242755, John Yeboah, 69, RW | CF, Raków Częstochowa, https://cdn.fifacm.com/content/media/imgs/fc24/players/p242755.png?v=22
253223, Jhonny Quiñónez, 69, CDM | CM | RM, Independiente, https://cdn.fifacm.com/content/media/imgs/fc24/players/p253223.png?v=22
263522, Jeremy Sarmiento, 69, LM | CAM, Ipswich Town, https://cdn.fifacm.com/content/media/imgs/fc24/players/p263522.png?v=22
272569, Kevin Rodríguez, 69, ST | LW, Union Saint-Gilloise, https://cdn.fifacm.com/content/media/imgs/fc24/players/p272569.png?v=22
254067, Anderson Julio, 68, ST | LM | RM, Real Salt Lake, https://cdn.fifacm.com/content/media/imgs/fc24/players/p254067.png?v=22
260686, Ronie Carrillo, 68, ST, Portimonense, https://cdn.fifacm.com/content/media/imgs/fc24/players/p260686.png?v=22
268611, Joel Ordoñez, 68, CB, Club Brugge, https://cdn.fifacm.com/content/media/imgs/fc24/players/p268611.png?v=22
256199, Anthony Valencia, 67, RM | LM, Antwerp, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
261222, Pedro Vite, 67, CM | CF, Vancouver Whitecaps, https://cdn.fifacm.com/content/media/imgs/fc24/players/p261222.png?v=22
263397, Alan Minda, 67, RM | CF | ST, Cercle Brugge, https://cdn.fifacm.com/content/media/imgs/fc24/players/p263397.png?v=22
264205, Nilson Angulo, 67, LW | RW, Anderlecht, https://cdn.fifacm.com/content/media/imgs/fc24/players/p264205.png?v=22
