247263, Edmond Tapsoba, 81, CB, Bayer 04 Leverkusen, https://cdn.fifacm.com/content/media/imgs/fc24/players/p247263.png?v=22
207948, Bertrand Traoré, 75, RM | RW, Villarreal CF, https://cdn.fifacm.com/content/media/imgs/fc24/players/p207948.png?v=22
246728, Lassina Traoré, 74, ST, Shakhtar Donetsk, https://cdn.fifacm.com/content/media/imgs/fc24/players/p246728.png?v=22
239342, Hervé Koffi, 73, GK, Charleroi, https://cdn.fifacm.com/content/media/imgs/fc24/players/p239342.png?v=22
253052, Issa Kabore, 73, RWB | RB, Luton Town, https://cdn.fifacm.com/content/media/imgs/fc24/players/p253052.png?v=22
265552, Dango Ouattara, 72, RM | LM, AFC Bournemouth, https://cdn.fifacm.com/content/media/imgs/fc24/players/p265552.png?v=22
261422, Adamo Nagalo, 71, CB, FC Nordsjælland, https://cdn.fifacm.com/content/media/imgs/fc24/players/p261422.png?v=22
241089, Cyrille Bayala, 69, RM, AC Ajaccio, https://cdn.fifacm.com/content/media/imgs/fc24/players/p241089.png?v=22
261815, Mamady Bangré, 68, RM, ESTAC Troyes, https://cdn.fifacm.com/content/media/imgs/fc24/players/p261815.png?v=22
262353, Gustavo Sangaré, 68, CDM | CM, Quevilly Rouen Métropole, https://cdn.fifacm.com/content/media/imgs/fc24/players/p262353.png?v=22
239718, Hassane Bandé, 67, ST | LW, HJK Helsinki, https://cdn.fifacm.com/content/media/imgs/fc24/players/p239718.png?v=22
253225, Abdoul Fessal Tapsoba, 66, ST | CAM | LM, Amiens SC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p253225.png?v=22
240312, Issouf Paro, 65, CB, US Concarneau, https://cdn.fifacm.com/content/media/imgs/fc24/players/p240312.png?v=22
277464, Sacha Banse, 65, CDM | CM, Valenciennes FC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p277464.png?v=22
256518, Dylan Ouédraogo, 63, CB | LB, FC Stade-Lausanne Ouchy, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
266375, Ousseni Bouda, 63, LM | RM, San Jose Earthquakes, https://cdn.fifacm.com/content/media/imgs/fc24/players/p266375.png?v=22
271529, Abdoul Guiebre, 62, LM | LB, Bari, https://cdn.fifacm.com/content/media/imgs/fc24/players/p271529.png?v=22
276183, Daouda Beleme, 62, ST, VfB Lübeck, https://cdn.fifacm.com/content/media/imgs/fc24/players/p276183.png?v=22
220427, François Yabré, 61, CB, ASC Oțelul Galați, https://cdn.fifacm.com/content/media/imgs/fc24/players/p220427.png?v=22
71843, Ismaël Séoné, 58, ST, FK Haugesund, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
70273, Abdoul Kader Ouattara, 56, ST, Cercle Brugge, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
276188, Mohamed Ouédraogo, 56, LWB, Altach, https://cdn.fifacm.com/content/media/imgs/fc24/players/p276188.png?v=22
276756, Bachirou Yameogo, 56, CDM, Grenoble Foot 38, https://cdn.fifacm.com/content/media/imgs/fc24/players/p276756.png?v=22
