211348, Stole Dimitrievski, 79, GK, Rayo Vallecano, https://cdn.fifacm.com/content/media/imgs/fc24/players/p211348.png?v=22
241390, Eljif Elmas, 79, CAM | CM | LW, RB Leipzig, https://cdn.fifacm.com/content/media/imgs/fc24/players/p241390.png?v=22
269953, Bojan Miovski, 74, ST, Aberdeen, https://cdn.fifacm.com/content/media/imgs/fc24/players/p269953.png?v=22
237239, Enis Bardhi, 73, CM | LM | CAM, Trabzonspor, https://cdn.fifacm.com/content/media/imgs/fc24/players/p237239.png?v=22
205965, Stefan Ristovski, 71, RB | CB | RM, Dinamo Zagreb, https://cdn.fifacm.com/content/media/imgs/fc24/players/p205965.png?v=22
206006, Ezgjan Alioski, 71, LB | LM, Al Ahli, https://cdn.fifacm.com/content/media/imgs/fc24/players/p206006.png?v=22
216350, Arijan Ademi, 70, CM | CDM, Dinamo Zagreb, https://cdn.fifacm.com/content/media/imgs/fc24/players/p216350.png?v=22
245429, Jani Atanasov, 70, CM | CDM, Cracovia, https://cdn.fifacm.com/content/media/imgs/fc24/players/p245429.png?v=22
199274, Ilja Nestorovski, 69, ST, Ascoli, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
205759, Dejan Stojanović, 69, GK, Altach, https://cdn.fifacm.com/content/media/imgs/fc24/players/p205759.png?v=22
215574, Erdal Rakip, 69, CDM | CM, Antalyaspor, https://cdn.fifacm.com/content/media/imgs/fc24/players/p215574.png?v=22
251545, Darko Churlinov, 68, RM | ST | CAM, FC Schalke 04, https://cdn.fifacm.com/content/media/imgs/fc24/players/p251545.png?v=22
269862, Valon Ethemi, 68, LM, Konyaspor, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
204350, Aleksandar Trajkovski, 67, LM | CF, Hajduk Split, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
223568, Gjoko Zajkov, 67, CB, Universitatea Craiova, https://cdn.fifacm.com/content/media/imgs/fc24/players/p223568.png?v=22
266567, Visar Musliu, 67, CB, SC Paderborn 07, https://cdn.fifacm.com/content/media/imgs/fc24/players/p266567.png?v=22
276076, Isnik Alimi, 67, CM | CDM, Sepsi OSK, https://cdn.fifacm.com/content/media/imgs/fc24/players/p276076.png?v=22
271652, Darko Velkovski, 66, CB, Dinamo București, https://cdn.fifacm.com/content/media/imgs/fc24/players/p271652.png?v=22
70579, Agon Elezi, 65, CDM | RM, VfL Bochum, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
202910, David Mitov Nilsson, 64, GK, IK Sirius, https://cdn.fifacm.com/content/media/imgs/fc24/players/p202910.png?v=22
208115, Leonard Zuta, 64, LWB | LB | CB, IF Brommapojkarna, https://cdn.fifacm.com/content/media/imgs/fc24/players/p208115.png?v=22
270348, Jovan Manev, 64, CB, Adana Demirspor, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
266112, Tihomir Kostadinov, 63, CAM | ST, Piast Gliwice, https://cdn.fifacm.com/content/media/imgs/fc24/players/p266112.png?v=22
