215441, Serhou Guirassy, 82, ST, VfB Stuttgart, https://cdn.fifacm.com/content/media/imgs/fc24/players/p215441.png?v=22
230578, Mouctar Diakhaby, 76, CB, Valencia CF, https://cdn.fifacm.com/content/media/imgs/fc24/players/p230578.png?v=22
220971, Naby Keïta, 75, CM, Werder Bremen, https://cdn.fifacm.com/content/media/imgs/fc24/players/p220971.png?v=22
241821, Mohamed Bayo, 73, ST, Le Havre AC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p241821.png?v=22
244401, Mohamed Ali Camara, 73, CB, BSC Young Boys, https://cdn.fifacm.com/content/media/imgs/fc24/players/p244401.png?v=22
210450, Abdoulaye Touré, 72, CDM | CM, Le Havre AC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p210450.png?v=22
212282, Issiaga Sylla, 72, LB | LWB, Montpellier HSC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p212282.png?v=22
257020, Morgan Guilavogui, 72, ST | RM, RC Lens, https://cdn.fifacm.com/content/media/imgs/fc24/players/p257020.png?v=22
259233, Ilaix Moriba, 72, CM, Getafe CF, https://cdn.fifacm.com/content/media/imgs/fc24/players/p259233.png?v=22
270072, Morlaye Sylla, 72, LM | RM | CM, Arouca, https://cdn.fifacm.com/content/media/imgs/fc24/players/p270072.png?v=22
224218, François Kamano, 71, RM | LM | LW, Abha Club, https://cdn.fifacm.com/content/media/imgs/fc24/players/p224218.png?v=22
270512, Cheick Conde, 71, CDM | CM, FC Zürich, https://cdn.fifacm.com/content/media/imgs/fc24/players/p270512.png?v=22
230613, Amadou Diawara, 70, CDM | CM, Anderlecht, https://cdn.fifacm.com/content/media/imgs/fc24/players/p230613.png?v=22
209840, Julian Jeanvier, 69, CB, Kayserispor, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
243867, Ousmane Kanté, 69, CB, Pau FC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p243867.png?v=22
259119, Saïdou Sow, 69, CB, RC Strasbourg, https://cdn.fifacm.com/content/media/imgs/fc24/players/p259119.png?v=22
267624, Seydouba Cisse, 69, CM | RM | CDM, CD Leganés, https://cdn.fifacm.com/content/media/imgs/fc24/players/p267624.png?v=22
189561, Bengali-Fodé Koita, 68, ST, Sivasspor, https://cdn.fifacm.com/content/media/imgs/fc24/players/p189561.png?v=22
237524, Sory Kaba, 68, ST, UD Las Palmas, https://cdn.fifacm.com/content/media/imgs/fc24/players/p237524.png?v=22
253039, Mory Konaté, 68, CDM | CM, KV Mechelen, https://cdn.fifacm.com/content/media/imgs/fc24/players/p253039.png?v=22
247288, Ibrahima Camará, 67, CDM | CM, Boavista, https://cdn.fifacm.com/content/media/imgs/fc24/players/p247288.png?v=22
265689, Yadaly Diaby, 65, LW | ST | LM, Austria Lustenau, https://cdn.fifacm.com/content/media/imgs/fc24/players/p265689.png?v=22
236279, Ibrahima Conté, 64, CB, UTA Arad, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
224442, Bingourou Kamara, 70, GK, Pau FC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p224442.png?v=22
