222204, Yunding Cao, 68, LM | CAM, Shanghai Shenhua, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
222235, Hang Ren, 68, CB | LB, Wuhan Three Towns, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
224648, Lei Li, 68, LB | LWB, Beijing Guoan, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
240207, Yang Liu, 68, LB | LM, Shandong Taishan, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
193713, Jiegei Qian, 67, CDM | CM, Zhejiang Professional FC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p193713.png?v=22
221820, Xizhe Zhang, 67, CM | CAM | LM, Beijing Guoan, https://cdn.fifacm.com/content/media/imgs/fc24/players/p221820.png?v=22
221846, Tong Wang, 67, RB, Shandong Taishan, https://cdn.fifacm.com/content/media/imgs/fc24/players/p221846.png?v=22
224466, Dun Ba, 67, LM | RM, Tianjin Jinmen Tiger, https://cdn.fifacm.com/content/media/imgs/fc24/players/p224466.png?v=22
241619, Zichang Huang, 67, RM | CAM | LM, Henan FC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p241619.png?v=22
243100, Shuai Li, 67, LB | LWB | LM, Shanghai Port, https://cdn.fifacm.com/content/media/imgs/fc24/players/p243100.png?v=22
247197, Tian Ming, 67, RB | RWB, Tianjin Jinmen Tiger, https://cdn.fifacm.com/content/media/imgs/fc24/players/p247197.png?v=22
222273, Zhipeng Jiang, 66, LB | LWB | LM, Wuhan Three Towns, https://cdn.fifacm.com/content/media/imgs/fc24/players/p222273.png?v=22
224546, Jinxian Wang, 66, LM | CM, Changchun Yatai, https://cdn.fifacm.com/content/media/imgs/fc24/players/p224546.png?v=22
224690, Ang Li, 66, CB | LB, Shanghai Port, https://cdn.fifacm.com/content/media/imgs/fc24/players/p224690.png?v=22
241252, Xin Tang, 66, RWB | LWB, Chengdu Rongcheng F.C., https://cdn.fifacm.com/content/media/imgs/fc24/players/p241252.png?v=22
241344, Liyu Yang, 66, RW | RM | ST, Beijing Guoan, https://cdn.fifacm.com/content/media/imgs/fc24/players/p241344.png?v=22
243088, Yihao Zhong, 66, LM | LB | RM, Henan FC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p243088.png?v=22
182047, Yan Wu, 65, GK, Dalian Professional, https://cdn.fifacm.com/content/media/imgs/fc24/players/p182047.png?v=22
182409, Chengdong Zhang, 65, CB | RB | CM, Beijing Guoan, https://cdn.fifacm.com/content/media/imgs/fc24/players/p182409.png?v=22
182411, Hanchao Yu, 65, LM | RM | CM, Shanghai Shenhua, https://cdn.fifacm.com/content/media/imgs/fc24/players/p182411.png?v=22
182451, Yuelei Cheng, 65, GK, Meizhou Hakka, https://cdn.fifacm.com/content/media/imgs/fc24/players/p182451.png?v=22
183997, Dabao Yu, 65, CB | ST, Beijing Guoan, https://cdn.fifacm.com/content/media/imgs/fc24/players/p183997.png?v=22
199088, Gang Wang, 65, RB | RWB, Beijing Guoan, https://cdn.fifacm.com/content/media/imgs/fc24/players/p199088.png?v=22
202808, Ke Li, 65, CM | CDM, Beijing Guoan, https://cdn.fifacm.com/content/media/imgs/fc24/players/p202808.png?v=22
217160, Xinli Peng, 65, CDM | CM, Shandong Taishan, https://cdn.fifacm.com/content/media/imgs/fc24/players/p217160.png?v=22
221801, Lisheng Liao, 65, CDM | CM, Shandong Taishan, https://cdn.fifacm.com/content/media/imgs/fc24/players/p221801.png?v=22
221854, Wu Xinghan, 65, LM | LW | RB, Shandong Taishan, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
